"","game_id","schedule_season","schedule_week","schedule_date","team_home_id","team_away_id","score_avg_pts_for_roll_lag.x","score_avg_pts_against_roll_lag.x","score_avg_pts_for_roll_lag.y","score_avg_pts_against_roll_lag.y"
"1","19660902OAKMIA",1966,"1",1966-09-02,"MIA","OAK",NA,NA,NA,NA
"2","19660903DENTEN",1966,"1",1966-09-03,"TEN","DEN",NA,NA,NA,NA
"3","19660904BUFLAC",1966,"1",1966-09-04,"LAC","BUF",NA,NA,NA,NA
"4","19660909NYJMIA",1966,"2",1966-09-09,"MIA","NYJ",NA,NA,NA,NA
"5","19660910INDGB",1966,"1",1966-09-10,"GB","IND",NA,NA,NA,NA
"6","19660910NELAC",1966,"2",1966-09-10,"LAC","NE",NA,NA,NA,NA
"7","19660910OAKTEN",1966,"2",1966-09-10,"TEN","OAK",NA,NA,NA,NA
"8","19660911CHIDET",1966,"1",1966-09-11,"DET","CHI",NA,NA,NA,NA
"9","19660911CLEWAS",1966,"1",1966-09-11,"WAS","CLE",NA,NA,NA,NA
"10","19660911KCBUF",1966,"2",1966-09-11,"BUF","KC",NA,NA,NA,NA
"11","19660911LARATL",1966,"1",1966-09-11,"ATL","LAR",NA,NA,NA,NA
"12","19660911MINSF",1966,"1",1966-09-11,"SF","MIN",NA,NA,NA,NA
"13","19660911NYGPIT",1966,"1",1966-09-11,"PIT","NYG",NA,NA,NA,NA
"14","19660911PHIARI",1966,"1",1966-09-11,"ARI","PHI",NA,NA,NA,NA
"15","19660916CHILAR",1966,"2",1966-09-16,"LAR","CHI",NA,NA,NA,NA
"16","19660918ATLPHI",1966,"2",1966-09-18,"PHI","ATL",NA,NA,NA,NA
"17","19660918DETPIT",1966,"2",1966-09-18,"PIT","DET",NA,NA,NA,NA
"18","19660918GBCLE",1966,"2",1966-09-18,"CLE","GB",NA,NA,NA,NA
"19","19660918INDMIN",1966,"2",1966-09-18,"MIN","IND",NA,NA,NA,NA
"20","19660918KCOAK",1966,"3",1966-09-18,"OAK","KC",NA,NA,NA,NA
"21","19660918MIABUF",1966,"3",1966-09-18,"BUF","MIA",NA,NA,NA,NA
"22","19660918NEDEN",1966,"3",1966-09-18,"DEN","NE",NA,NA,NA,NA
"23","19660918NYGDAL",1966,"2",1966-09-18,"DAL","NYG",NA,NA,NA,NA
"24","19660918TENNYJ",1966,"3",1966-09-18,"NYJ","TEN",NA,NA,NA,NA
"25","19660918WASARI",1966,"2",1966-09-18,"ARI","WAS",NA,NA,NA,NA
"26","19660925ARICLE",1966,"3",1966-09-25,"CLE","ARI",NA,NA,NA,NA
"27","19660925ATLDET",1966,"3",1966-09-25,"DET","ATL",NA,NA,NA,NA
"28","19660925KCNE",1966,"4",1966-09-25,"NE","KC",NA,NA,NA,NA
"29","19660925LACOAK",1966,"4",1966-09-25,"OAK","LAC",NA,NA,NA,NA
"30","19660925LARGB",1966,"3",1966-09-25,"GB","LAR",NA,NA,NA,NA
"31","19660925MINDAL",1966,"3",1966-09-25,"DAL","MIN",NA,NA,NA,NA
"32","19660925NYGPHI",1966,"3",1966-09-25,"PHI","NYG",NA,NA,NA,NA
"33","19660925NYJDEN",1966,"4",1966-09-25,"DEN","NYJ",NA,NA,NA,NA
"34","19660925SFIND",1966,"3",1966-09-25,"IND","SF",NA,NA,NA,NA
"35","19660925TENBUF",1966,"4",1966-09-25,"BUF","TEN",NA,NA,NA,NA
"36","19660925WASPIT",1966,"3",1966-09-25,"PIT","WAS",NA,NA,NA,NA
"37","19660930SFLAR",1966,"4",1966-09-30,"LAR","SF",NA,NA,NA,NA
"38","19661002ARIPHI",1966,"4",1966-10-02,"PHI","ARI",NA,NA,NA,NA
"39","19661002BUFKC",1966,"5",1966-10-02,"KC","BUF",NA,NA,NA,NA
"40","19661002CHIMIN",1966,"4",1966-10-02,"MIN","CHI",NA,NA,NA,NA
"41","19661002CLENYG",1966,"4",1966-10-02,"NYG","CLE",NA,NA,NA,NA
"42","19661002DALATL",1966,"4",1966-10-02,"ATL","DAL",NA,NA,NA,NA
"43","19661002DETGB",1966,"4",1966-10-02,"GB","DET",NA,NA,NA,NA
"44","19661002MIALAC",1966,"5",1966-10-02,"LAC","MIA",NA,NA,NA,NA
